mobile_number,churn_real,churn_prob,rank
7000948293,1,0.937120135465119,1
7001752097,1,0.937120135465119,2
7001847805,1,0.937120135465119,3
7000945882,1,0.937120135465119,4
7000544026,1,0.937120135465119,5
7002074629,1,0.937120135465119,6
7001459562,1,0.937120135465119,7
7002095751,1,0.937120135465119,8
7001365918,1,0.936898209289822,9
7001333378,1,0.936898209289822,10
7001756108,0,0.936898209289822,11
7000802312,0,0.936898209289822,12
7001929052,1,0.936898209289822,13
7001946805,1,0.936898209289822,14
7002197400,1,0.936898209289822,15
7001070162,1,0.936898209289822,16
7000669368,1,0.936898209289822,17
7002301724,1,0.936898209289822,18
7002198768,1,0.936898209289822,19
7000717822,1,0.936898209289822,20
7000004035,1,0.936898209289822,21
7000670592,1,0.936898209289822,22
7000681868,1,0.936898209289822,23
7001771585,1,0.936898209289822,24
7001134213,1,0.936898209289822,25
7000682026,1,0.936898209289822,26
7002165175,1,0.936898209289822,27
7001369951,1,0.936579475140285,28
7001089383,1,0.936579475140285,29
7001678157,0,0.936579475140285,30
7001367644,1,0.936579475140285,31
7000939942,1,0.9351411336406588,32
7000471921,0,0.9347628137922562,33
7000382808,1,0.9347628137922562,34
7001993690,0,0.9347628137922562,35
7001574995,1,0.9347628137922562,36
7001486124,0,0.934540887616959,37
7000971707,1,0.934540887616959,38
7001010994,0,0.934540887616959,39
7000941593,1,0.934540887616959,40
7001256503,0,0.934540887616959,41
7000669928,1,0.9342221534674222,42
7002323802,1,0.9342221534674222,43
7001627176,0,0.9342221534674222,44
7001935562,1,0.9342221534674222,45
7000621478,1,0.9342221534674222,46
7001116535,1,0.9342221534674222,47
7001826116,1,0.9342221534674222,48
7001712848,1,0.9338140855019627,49
7001835816,0,0.9338140855019627,50
7001619507,0,0.9325330202735068,51
7002237658,0,0.9325330202735068,52
7001141484,0,0.9325330202735068,53
7000725678,1,0.9325330202735068,54
7002150272,1,0.9322520104274843,55
7001953534,1,0.9322520104274843,56
7000264673,1,0.9322520104274843,57
7002323359,0,0.9322520104274843,58
7002133451,0,0.9322520104274843,59
7002190778,0,0.9322520104274843,60
7000343105,1,0.9322520104274843,61
7001351849,0,0.9322520104274843,62
7000271479,1,0.9322520104274843,63
7001242263,1,0.9322520104274843,64
7001143922,0,0.9322520104274843,65
7001833065,1,0.9322520104274843,66
7000122214,0,0.9322520104274843,67
7002382176,1,0.9322520104274843,68
7000815025,1,0.9322520104274843,69
7000789358,0,0.9322520104274843,70
7000117923,1,0.9322520104274843,71
7000222804,0,0.9322520104274843,72
7002358925,1,0.9322520104274843,73
7001159943,1,0.9322520104274843,74
7000714820,1,0.9322520104274843,75
7001405773,0,0.9322520104274843,76
7000578554,0,0.9322520104274843,77
7000430153,1,0.9322520104274843,78
7000960866,1,0.9322520104274843,79
7000598042,1,0.9322520104274843,80
7001799503,0,0.9322520104274843,81
7000994308,0,0.9322520104274843,82
7000439183,1,0.9322520104274843,83
7000927604,1,0.9322520104274843,84
7001366428,0,0.9322520104274843,85
7000185874,0,0.9322520104274843,86
7002220699,0,0.9322520104274843,87
7001126462,0,0.9322520104274843,88
7000082098,0,0.9322520104274843,89
7000933711,0,0.9322520104274843,90
7000200370,1,0.9322520104274843,91
7002349892,0,0.9322520104274843,92
7001884249,0,0.9322520104274843,93
7000773643,1,0.9322520104274843,94
7000653755,1,0.9322520104274843,95
7000448508,1,0.9322520104274843,96
7001121396,0,0.9322520104274843,97
7001403847,0,0.9322520104274843,98
7001718808,1,0.9322520104274843,99
7000236271,0,0.9322520104274843,100
7000455635,1,0.9322520104274843,101
7000491215,0,0.9322520104274843,102
7001440840,1,0.9322520104274843,103
7001556531,0,0.9322520104274843,104
7001679867,1,0.9322520104274843,105
7000130626,0,0.9322520104274843,106
7002354060,0,0.9322520104274843,107
7000605759,0,0.9322520104274843,108
7002047082,1,0.9322520104274843,109
7000166551,0,0.9322520104274843,110
7001703751,1,0.93221428612397,111
7002166747,1,0.931918157916789,112
7002053938,0,0.931918157916789,113
7001771443,1,0.931918157916789,114
7002266626,1,0.9315994237672522,115
7001726727,1,0.9313032821371904,116
7002271663,0,0.9313032821371904,117
7001580225,0,0.9313032821371904,118
7001589667,0,0.9313032821371904,119
7001833066,0,0.9313032821371904,120
7000286024,0,0.9313032821371904,121
7001509994,1,0.9313032821371904,122
7000852594,0,0.9313032821371904,123
7001208604,1,0.9313032821371904,124
7002337994,0,0.9313032821371904,125
7000634618,0,0.9313032821371904,126
7000104554,0,0.9313032821371904,127
7002363726,1,0.9313032821371904,128
7000952154,0,0.931229621447136,129
7001181380,1,0.9307325766647253,130
7001160326,0,0.9306198087478346,131
7001402660,1,0.9306198087478346,132
7000063273,0,0.9306198087478346,133
7000544058,0,0.9306198087478346,134
7001537620,0,0.9306198087478346,135
7000632644,0,0.9306198087478346,136
7001144951,0,0.9306198087478346,137
7001274507,1,0.9306198087478346,138
7000582967,0,0.9306198087478346,139
7001993209,0,0.9306198087478346,140
7000764924,0,0.9306198087478346,141
7000153888,0,0.9306198087478346,142
7001343247,0,0.9306198087478346,143
7002175480,1,0.9306198087478346,144
7001977022,0,0.9306198087478346,145
7001272413,0,0.930214305095809,146
